辞書,文境界,書字形（＝表層形）,仮名形出現形
上代（万葉集）Unidic (Ver.1603),B,初春,ハツハル
上代（万葉集）Unidic (Ver.1603),I,の,ノ
上代（万葉集）Unidic (Ver.1603),I,令月,レイゲツ
上代（万葉集）Unidic (Ver.1603),I,に,ニ
上代（万葉集）Unidic (Ver.1603),I,し,シ
上代（万葉集）Unidic (Ver.1603),I,て,テ
上代（万葉集）Unidic (Ver.1603),I,、,
上代（万葉集）Unidic (Ver.1603),I,気,イキ
上代（万葉集）Unidic (Ver.1603),I,淑く,ヨク
上代（万葉集）Unidic (Ver.1603),I,風,カゼ
上代（万葉集）Unidic (Ver.1603),I,和らぎ,ヤワラギ
上代（万葉集）Unidic (Ver.1603),I,、,
上代（万葉集）Unidic (Ver.1603),I,梅,ウメ
上代（万葉集）Unidic (Ver.1603),I,は,ハ
上代（万葉集）Unidic (Ver.1603),I,鏡,カガミ
上代（万葉集）Unidic (Ver.1603),I,前,サキ
上代（万葉集）Unidic (Ver.1603),I,の,ノ
上代（万葉集）Unidic (Ver.1603),I,粉,コ
上代（万葉集）Unidic (Ver.1603),I,を,ヲ
上代（万葉集）Unidic (Ver.1603),I,披き,ヒラキ
上代（万葉集）Unidic (Ver.1603),I,、,
上代（万葉集）Unidic (Ver.1603),I,蘭,ラン
上代（万葉集）Unidic (Ver.1603),I,は,ハ
上代（万葉集）Unidic (Ver.1603),I,珮後,　
上代（万葉集）Unidic (Ver.1603),I,の,ノ
上代（万葉集）Unidic (Ver.1603),I,香,カ
上代（万葉集）Unidic (Ver.1603),I,を,ヲ